date, pm25, pm10, o3, no2, so2, co
2021/6/18, 55, 19, 32, 23, 1, 3
2021/6/19, 65, 11, 25, 14, 1, 4
2021/6/20, 39, 17, 34, 11, 1, 2
2021/6/21, 50, 15, 70, 21, 1, 2
2021/6/22, 56, 20, 47, 17, 1, 2
2021/6/23, 62, 16, 47, 14, 1, 2
2021/6/24, 57, 19, 65, 21, 1, 2
2021/6/25, 61, 20, 53, 19, 1, 2
2021/6/26, 63, 18, 43, 18, 1, 2
2021/6/27, 56, 16, 39, 10, 1, 2
2021/6/28, 55, 18, 45, 16, 1, 2
2021/6/29, 60, 16, 38, 17, 1, 2
2021/6/30, 56, 18, 39, 17, 1, 2
2021/7/1, 58, 8, 36, 17, 1, 2
2021/1/5, 48, 24, 16, 32, 2, 6
2021/1/6, 65, 19, 29, 18, 2, 3
2021/1/7, 34, 16, 28, 21, 2, 3
2021/1/8, 30, 17, 28, 20, 2, 3
2021/1/9, 47, 16, 30, 20, 2, 3
2021/1/10, 37, 17, 28, 18, 2, 3
2021/1/11, 49, 20, 25, 23, 1, 3
2021/1/12, 58, 20, 11, 34, 2, 5
2021/1/13, 63, 28, 26, 32, 3, 6
2021/1/14, 74, 41, 33, 37, 2, 7
2021/1/15, 88, 40, 32, 42, 5, 7
2021/1/16, 87, 27, 26, 32, 2, 6
2021/1/17, 66, 14, 30, 16, 2, 3
2021/1/18, 36, 17, 28, 26, 2, 5
2021/1/19, 52, 13, 28, 20, 1, 4
2021/1/20, 42, 15, 26, 22, 1, 3
2021/1/21, 49, 28, 26, 36, 2, 5
2021/1/22, 55, 27, 16, 35, 2, 7
2021/1/23, 62, 19, 29, 27, 2, 4
2021/1/24, 53, 13, 28, 22, 1, 3
2021/1/25, 36, 21, 29, 26, 3, 4
2021/1/26, 54, 19, 28, 21, 2, 5
2021/1/27, 43, 13, 33, 12, 2, 4
2021/1/28, 40, 21, 25, 29, 2, 4
2021/1/29, 66, 14, 31, 13, 2, 3
2021/1/30, 47, 18, 29, 20, 2, 3
2021/1/31, 50, 23, 31, 20, 2, 3
2021/2/1, 67, 24, 20, 34, 3, 6
2021/2/2, 70, 17, 34, 27, 2, 4
2021/2/3, 55, 15, 30, 15, 2, 3
2021/2/4, 59, 22, 32, 28, 2, 5
2021/2/5, 66, 21, 29, 32, 2, 4
2021/2/6, 65, 23, 32, 33, 3, 5
2021/2/7, 72, 35, 42, 27, 3, 5
2021/2/8, 90, 20, 27, 24, 3, 4
2021/2/9, 43, 10, 28, 18, 1, 3
2021/2/10, 39, 22, 30, 28, 3, 4
2021/2/11, 66, 26, 40, 27, 3, 4
2021/2/12, 75, 28, 32, 27, 2, 5
2021/2/13, 79, 25, 40, 10, 4, 5
2021/2/14, 68, 18, 36, 6, 2, 3
2021/2/15, 53, 11, 37, 8, 3, 3
2021/2/16, 33, 15, 33, 20, 1, 3
2021/2/17, 50, 12, 32, 15, 2, 3
2021/2/18, 45, 12, 27, 11, 2, 4
2021/2/19, 39, 11, 28, 28, 2, 4
2021/2/20, 48, 23, 40, 33, 2, 4
2021/2/21, 71, 31, 52, 32, 3, 5
2021/2/22, 83, 27, 42, 37, 3, 5
2021/2/23, 78, 19, 39, 16, 3, 3
2021/2/24, 61, 14, 33, 18, 2, 3
2021/2/25, 43, 14, 32, 20, 3, 4
2021/2/26, 51, 14, 35, 23, 2, 3
2021/2/27, 40, 15, 36, 15, 2, 2
2021/2/28, 47, 14, 35, 16, 2, 3
2021/3/1, 48, 18, 35, 24, 1, 3
2021/3/2, 49, 7, 33, 21, 1, 3
2021/3/3, 24, 9, 35, 15, 2, 2
2021/3/4, 38, 14, 34, 17, 2, 3
2021/3/5, 39, 12, 28, 21, 2, 3
2021/3/6, 38, 16, 37, 19, 3, 2
2021/3/7, 47, 15, 34, 9, 3, 2
2021/3/8, 44, 13, 33, 16, 3, 2
2021/3/9, 39, 17, 33, 30, 3, 3
2021/3/10, 46, 22, 39, 24, 4, 3
2021/3/11, 55, 19, 36, 30, 4, 3
2021/3/12, 53, 21, 33, 31, 4, 4
2021/3/13, 59, 12, 41, 20, 3, 3
2021/3/14, 37, 18, 39, 13, 3, 2
2021/3/15, 46, 24, 43, 29, 2, 4
2021/3/16, 69, 36, 39, 35, 2, 5
2021/3/17, 91, 36, 39, 17, 3, 5
2021/3/18, 66, 26, 39, 24, 2, 3
2021/3/19, 59, 19, 38, 23, 2, 3
2021/3/20, 53, 23, 46, 16, 3, 3
2021/3/21, 55, 11, 36, 19, 2, 3
2021/3/22, 37, 21, 35, 15, 2, 3
2021/3/23, 57, 20, 38, 26, 3, 4
2021/3/24, 62, 20, 47, 30, 3, 4
2021/3/25, 61, 19, 32, 31, 2, 4
2021/3/26, 60, 31, 50, 24, 3, 5
2021/3/27, 75, 31, 55, 20, 3, 5
2021/3/28, 75, 22, 40, 17, 2, 2
2021/3/29, 57, 44, 59, 23, 1, 4
2021/3/30, 92, 70, 57, 23, 1, 5
2021/3/31, 137, 39, 42, 24, 1, 13
2021/4/1, 72, 37, 51, 22, 1, 3
2020/10/2, 40, 18, 51, 27, 3, 3
2020/10/3, 55, 25, 42, 23, 3, 3
2020/10/4, 67, 26, 41, 19, 4, 3
2020/10/5, 69, 25, 32, 18, 2, 3
2020/10/6, 62, 19, 27, 24, 1, 3
2020/10/7, 43, 18, 31, 23, 2, 3
2020/10/8, 50, 13, 33, 24, 1, 3
2020/10/9, 31, 12, 33, 20, 1, 3
2020/10/10, 30, 13, 31, 20, 1, 2
2020/10/11, 31, 15, 30, 18, 2, 2
2020/10/12, 45, 17, 41, 19, 2, 2
2020/10/13, 43, 18, 35, 20, 2, 2
2020/10/14, 53, 19, 35, 24, 1, 3
2020/10/15, 54, 14, 34, 22, 1, 2
2020/10/16, 41, 14, 33, 22, 1, 3
2020/10/17, 42, 13, 29, 23, 1, 3
2020/10/18, 38, 14, 29, 15, 1, 3
2020/10/19, 44, 21, 13, 26, 1, 5
2020/10/20, 57, 25, 36, 25, 1, 4
2020/10/21, 61, 21, 39, 23, 2, 3
2020/10/22, 58, 20, 32, 21, 2, 3
2020/10/23, 51, 22, 35, 23, 1, 3
2020/10/24, 49, 20, 36, 18, 1, 3
2020/10/25, 55, 18, 36, 21, 1, 3
2020/10/26, 50, 20, 36, 23, 1, 3
2020/10/27, 53, 17, 34, 25, 1, 3
2020/10/28, 46, 19, 35, 28, 2, 4
2020/10/29, 56, 25, 36, 22, 2, 4
2020/10/30, 65, 17, 30, 23, 2, 3
2020/10/31, 46, 13, 32, 24, 2, 4
2020/11/1, 58, 9, 34, 21, 1, 3
2020/11/2, 55, 10, 29, 27, 2, 4
2020/11/3, 56, 11, 33, 14, 2, 2
2020/11/4, 50, 7, 29, 21, 1, 3
2020/11/5, 52, 10, 27, 28, 1, 4
2020/11/6, 57, 18, 31, 34, 4, 5
2020/11/7, 68, 31, 16, 27, 2, 5
2020/11/8, 70, 33, 39, 24, 3, 4
2020/11/9, 71, 17, 26, 20, 1, 3
2020/11/10, 41, 12, 26, 20, 1, 3
2020/11/11, 38, 15, 26, 24, 1, 4
2020/11/12, 45, 17, 28, 28, 2, 4
2020/11/13, 53, 21, 27, 28, 2, 4
2020/11/14, 61, 20, 28, 24, 3, 4
2020/11/15, 59, 22, 34, 21, 3, 4
2020/11/16, 60, 26, 33, 31, 2, 5
2020/11/17, 78, 28, 41, 30, 3, 5
2020/11/18, 71, 32, 41, 36, 5, 5
2020/11/19, 84, 24, 36, 29, 2, 5
2020/11/20, 67, 22, 35, 27, 3, 4
2020/11/21, 58, 14, 31, 16, 2, 3
2020/11/22, 41, 16, 23, 19, 3, 4
2020/11/23, 46, 14, 29, 16, 2, 3
2020/11/24, 39, 16, 26, 23, 2, 3
2020/11/25, 51, 14, 15, 27, 2, 4
2020/11/26, 46, 17, 26, 25, 2, 4
2020/11/27, 55, 21, 27, 28, 2, 4
2020/11/28, 61, 12, 28, 17, 2, 3
2020/11/29, 40, 13, 24, 18, 2, 3
2020/11/30, 42, 16, 28, 23, 2, 4
2020/12/1, 52, 15, 26, 27, 3, 4
